chunk_text,openai_frame_classification
"On climate change, I made clear the UK’s determination to lead the way on the serious threat that this poses to our planet. We need a step change in preparing for temperature rises, to cut the cost and impact of climate-related disasters, and to secure food, water and jobs for the future. As a UN champion on climate resilience, the UK will continue to pursue this agenda at next year’s UN climate summit. Nineteen of us at the G20 reaffirmed our commitment to the Paris agreement, but it remains a disappointment that the United States continues to opt out. I also announced that the UK will be committing £100 million to the Renewable Energy Performance Platform, which will directly support the private sector in leveraging private finance to fund renewable energy projects in sub-Saharan Africa.",Economic
"I am struck, as ever, by the capacity of Government Members to become giddy with excitement about the upsides and hypothetical benefits of Brexit while ignoring the real-world consequences in the cost and heartache of leaving the European Union—in Scotland’s case, very much against our will. In the best-case scenario, taking the Government’s figures at their best, this deal will increase UK GDP by 0.08% by 2035. That is not nothing—and I welcome it—but the Office for Budget Responsibility, by contrast, has calculated that we will lose a full 4% of GDP. We need to look at that in the round, and Members need to see the deal in context.

This is not the last time that we will discuss this issue, so I will limit my remarks to agriculture and future scrutiny. I quote Martin Kennedy, the president of the National Farmers Union of Scotland:

“The final deal…shows a complete dearth of proper consultation with farming and food sector interests across the UK. While we are not against free trade, this deal appears to be very one sided, with little to no advantage for Scottish farmers”.",Economic
"Even if a party-run process is fantastic, it simply would not command confidence, and it was clear in the views expressed to me by colleagues, from my conversations with Members from other parties and from the representatives of our staff who came to see me that a House process covering all Members of Parliament on a cross-party basis would be the best way to proceed. We started to set some of those processes in train, and it was to my disappointment that the European Union referendum intervened and terminated the career of David Cameron and, indeed, my career in government and that we were unable to bring those processes to fruition.

I was therefore very pleased—although not about why the Leader of the House had to put these processes in place—that she responded so strongly to the events that took place last year, both in Parliament and outside it. I was very pleased that the processes were put in train on a cross-party basis and that all parties took part. I am also pleased that we have come up with such a comprehensive report, which I have taken the trouble to study. I think that it will be a step forward.",uneindeutig
"I absolutely share my hon. Friend’s view. Indeed, one of the most remarked-on things about the Prime Minister’s speech yesterday was that it was directed not just at Britain, but the whole of Europe. All of us in wider Europe need to create a more flexible and competitive Europe; that goes particularly for eurozone countries, whatever their needs may be in terms of integration in the eurozone. As for energy, when it comes to being part of a single market and meeting the 2014 deadline, delivering that kind of competition is exactly what we need to do to demonstrate the benefits of European Union membership.",Economic
"According to the Children’s Society, more than 5,000 children were living in poverty in my constituency of Bristol East last year. The Chancellor spoke yesterday of the “dignity of work”, but the majority of those children are in working families. The issue of in-work poverty has been raised frequently in this House and needs to be tackled. It is not enough simply to suggest that moving people into work from welfare is the only solution. Universal credit cuts will only make the situation worse.

There was nothing yesterday in response to the Resolution Foundation’s warning that incomes will rise for high-income households, stagnate for the middle and fall at the bottom. In my constituency of Bristol East, there are very few who fall into the high income category, but very many who fall into the middle or the bottom and who will not benefit. The Resolution Foundation said that the result will be

“the biggest rise in inequality since the late 1980s.”

I do not know how the Chancellor can lecture low-paid workers about the dignity of work, when he is watching their living standards fall.",Human Impact
"We will not sign up to measures on cybercrime and mutual legal assistance, because they have all been superseded by other measures to which we have signed up instead We will not sign up to minimum standards on bribery, but we will still meet them because the Bribery Act 2010 is still in place We will not sign up to measures to tackle racism, but we will still meet them because we have hate crime legislation in place We will not sign up to measures on accession, because they never applied to us in the first place And we will not sign up to receive a directory of specialist counter-terrorism officers, but someone will probably send it to us in the post.",uneindeutig
"Briefly, for those who do not know what investment trusts are, they are like any other publicly quoted or listed company, such as a Shell or a Glaxo, but instead of managing oil or pharmaceuticals, they manage investments on behalf of their shareholders. They have a very good track record—they have outperformed unit trusts and, indeed, the benchmarks—and over the years they have played an integral role in helping investors to achieve their financial goals. The first one, Foreign and Colonial, was established in 1868, and the largest now, the Scottish Mortgage Investment Trust, is a FTSE 100 company with assets under management of around £15 billion.",Economic
A recent study published in Social Policy and Society has found that the UK’s voting record in the EU has historically placed business interests over women’s rights. What steps are this Government taking to ensure that post-Brexit Britain will not place business interests above ensuring equality?,Moral Value
"I am enormously grateful to the right hon. and learned Gentleman for allowing me to intervene. He has been a great friend to Northern Ireland for a long time, and he has been a great defender of the Good Friday/Belfast agreement since it was signed 21 years ago. I would be enormously grateful to him if he would explain to the House his concerns, if any, about how this new Brexit deal, brought back in triumph by the Prime Minister, has caused such anxiety in Northern Ireland that it actually undermines the great achievement of the Good Friday agreement.",Human Impact
"However, the impact of a no-deal departure is about much more than just tariffs. It would mean a sudden and drastic change in the entire body of rules that currently govern how we trade in a range of crucial areas. It would threaten the complex law enforcement and judicial co-operation arrangements that keep Britain safe. It would almost inevitably result in infrastructure being placed on the Irish border, place untold strain on the Good Friday agreement and Anglo-Irish relations more generally, and exacerbate the current political instability in Northern Ireland, raising the spectre, as the Secretary of State for the Environment said at the outset, of direct rule from Westminster.

In short, such an exit is the hardest and most chaotic of departures. It provides no certainty, and no one can say with any real certainty just how extensive the damage would be. Of course we would survive, but why would any Government force the British people to cope with an entirely avoidable act of self-harm that opinion polling suggests only a minority of the public support? No responsible Government in their right mind should countenance a no-deal exit from the EU, especially when, as the hon. Member for East Surrey said, the other side knows full well that it has always been a hollow threat.",Human Impact
"I thank the hon. Gentleman for his opening remarks about the importance of moving beyond the divisions of the referendum. However, I think I am right in saying that not one member of the shadow Cabinet is here to address these issues. [Interruption.] I apologise. There is one. However, the shadow Foreign Secretary and the shadow Brexit Secretary are busy debating the Labour leadership, although this is an important moment for Members in all parts of the House to look at the future direction of this country.

The hon. Gentleman talked about parliamentary scrutiny. We have made it absolutely clear—the Prime Minister made this point on Second Reading of the Bill that became the European Union (Withdrawal Agreement) Act 2020—that Parliament will be kept fully informed about the progress of the negotiations. Both Houses will have access to all their usual arrangements for scrutinising the actions of the Executive, and the Government are confident that Parliament will take full advantage of those opportunities. We will also ensure that there is full engagement with the devolved Administrations.",uneindeutig
"I welcome the introduction of the Bill by the UK Government, as do many farmers in my constituency, as well as NFU Scotland and Scottish Land & Estates, to name just a couple of organisations. As we come to the final stages of leaving the EU, the Bill offers security and a framework alongside guaranteed continued payments until 2022. I also welcome the Secretary of State’s commitment to, and action on, ensuring that the United Kingdom maintains the highest possible food and livestock welfare standards, as well as his commitments to public money for public goods, and financial assistance for

“the purpose of starting, or improving the productivity of, an agricultural, horticultural or forestry activity.”

The opportunities contained in the Bill are the reason why it has been so warmly welcomed in my constituency and throughout the United Kingdom, with both Wales and Northern Ireland—unencumbered by nationalist Administrations—accepting the Government’s offer to be included. Scotland can only rely on the SNP Administration in Edinburgh to be strong for nationalism, with not one single provision for agriculture included in their recent programme for government.",Economic
"I first met Marzia at an International Women’s Day event in Oldham five years ago. She was a family court judge in the criminal justice system in Afghanistan. She had the temerity to set up education centres for girls, which unfortunately was not very popular with the Taliban. She was targeted by them, and after being run over and spending many weeks in hospital, she was told when finally released that she was going to be killed. She fled Afghanistan in fear for her life and arrived in the UK. Once in the UK, she moved to Oldham—I will say a little about that in a moment. As she told me, at the age of 43, having left her family, friends and career as a professional lawyer, she had to start all over again, learn a new language, which is increasingly difficult with cuts to English classes for speakers of other languages, and find a new identity and purpose.

Marzia said:

“The negative assumptions about me contributed to the deterioration of my mental health. The asylum system is harsh.”

Now Marzia is a British citizen, and I was delighted to be invited to her citizenship ceremony. She works in my office as a caseworker, helping people who were once in her position. Her views on the asylum system are scathing. She says:",Human Impact
"The Chairs of the Select Committees on Foreign Affairs, on Defence and on International Development—my hon. Friend the Member for Tonbridge and Malling (Tom Tugendhat), my right hon. Friend the Member for Bournemouth East (Mr Ellwood), and the hon. Member for Rotherham (Sarah Champion)—all made very good points. My hon. Friend the Member for Tonbridge and Malling spoke about how trade can transform lives in Africa; the Defence Committee Chair set out a huge to-do list on how we should work with President-elect Biden, which we very much look forward to doing; and the hon. Member for Rotherham spoke about development and women’s rights. Nobody is more passionate about girls’ education than our current Prime Minister, and I think we have been delivering on our important role there.

My right hon. Friend the Member for Bournemouth West (Conor Burns), who is at once my successor and my predecessor in this role, gave thanks to the DIT team; we thank him for his important work in the Department from 2019 to 2020. The hon. Member for North Antrim (Ian Paisley) expressed his genuine concern about the Northern Ireland protocol and made some important points about hydrogen technology and other things.",uneindeutig
"“For the purpose of this multilateral surveillance, Member States shall forward information to the Commission about important measures taken by them in the field of their economic policy”.

In a sense, the right hon. Member for Wokingham (Mr Redwood) was right to say that this is the homework that has been set by the European Commission, and we are completing our homework today.",uneindeutig
"My hon. Friend makes his point skilfully. People trusted that their voices would be heard, and to ask the question all over again would be a betrayal of our democracy and of that trust. Whether on Brexit or on Scottish independence, politicians north and south of the border should think twice before they choose to let people down in this way.",Moral Value
"Our default position is that UK law may not necessarily be identical to EU law, but it should achieve the same outcomes. In some cases, the Parliament of the day could choose to pass an identical law. It could also decide not to achieve the same outcomes as EU law, but it would do so knowing that there would be consequences for market access. As I set out at Which? today, at the launch of its consumer charter, the UK has always played a key role in setting high standards for consumer rights, and we will continue to do so as we leave the EU.",Powerlessness
"For workers who arrive during the transition period under existing freedom of movement rules, what arrangements will the Government make to ensure that workers who are crucial to industries in Scotland, such as fisheries, social care and hospitality, and who do not meet tier 2 visa requirements, are not simply sent home at the end of the transition period?",Human Impact
"It would have been helpful if we had got the Agriculture Bill through, because what we are dealing with here might have been part and parcel of that. Sadly, we hear nothing of the Agricultural Bill or, sadly for my hon. Friend the Member for Plymouth, Sutton and Devonport (Luke Pollard), the Fisheries Bill. We rushed through those before Christmas, so that we could have a comprehensive approach to fishing and agriculture, but sadly those Bills seem to have disappeared into the ether. I hope that we will not be faced with their having to be reintroduced in a new Session, as some of us worked hard on them. It would be hard for some of us to have to go through them all again, given that even though we disagreed on elements of those Bills, we did make some progress. We were hoping that on Third Reading, and particularly on Report, we would be able to make further progress and improvements to that legislation.",uneindeutig
"The hon. Gentleman and I differ in our assessment of the state of the UK economy, but whether he takes his view or I take mine, in neither case would our economy and our constituents benefit from pursuing a policy that would increase unemployment by 500,000 and see average wages fall by nearly £800. I hope he considers the impact that leaving the European Union would have on his constituents.",Economic
"That was the commitment made, and I know the Government are solemnly committed to it.",Moral Value
"That is why we remember them. The Royal British Legion wants us to rethink Remembrance to include today’s generation who have died serving their country. My hon. Friend the Member for Cardiff South and Penarth (Stephen Doughty) has secured a debate next week to draw attention to that call. May I ask the Leader of the House to ensure that, across the parliamentary Estate, we take up the call to rethink Remembrance?

Those who served fought for future generations, and future generations will be here next week when we welcome the Youth Parliament on 11 November. Its sitting will involve more than 300 young people between the ages of 12 and 18 from throughout our United Kingdom. We can learn from them how to focus on debates.

Will the Leader of the House join me in sending a message to Bob: “If you don’t want the Nobel peace prize money, could you donate it to the White Helmets of Syria?”? That charity did not win the Nobel peace prize and was the beloved charity of our beloved colleague Jo Cox, who would have been delighted by the maiden speech of my hon. Friend the Member for Batley and Spen (Tracy Brabin) yesterday.",Human Impact
"“workers’ rights, consumer and environmental protection”,

keep people safe with a

“broad, comprehensive and balanced security partnership”

and indeed ensure the protection of the Good Friday agreement through the proper implementation of the Northern Ireland protocol. That is where the Government’s focus should be right now, and should have been to ensure that we would have, as the hon. Member for North East Bedfordshire said, the opportunity to debate in full the provisions of any agreement reached in good time, and to conclude that process to enable businesses to be ready.",Human Impact
What recent discussions he has had with the Secretary of State for Health and Social Care on the effect on the NHS of the UK leaving the EU.,uneindeutig
"It is a pleasure to follow the hon. Member for Ilford North (Wes Streeting), whose speech was, as ever, impressive, principled and considered.

Today’s debate is to my mind about a straightforward decision that will mean that our country embarks on a necessary but inevitably complex journey to leave the European Union. As has been mentioned, this legislation is about the process. It is not a substantive Bill about the merits or otherwise of leaving the European Union—that was for the referendum debates—and nor is it about the future deal that will come later in future legislation. It can be summed up in a few words, such as “respect the will of the people” and “respect the result of the referendum”. However, I have a good reason for adding a few more words during today’s debate.

I represent a constituency and borough that voted heavily to remain in the European Union. In Enfield, 76,000 people voted to remain, while 60,000 voted to leave. In my constituency only 37% voted to leave while 63% voted to remain. Among Brexiteers, I have the largest percentage of remain voters; after the Richmond Park by-election, The Daily Telegraph helpfully pointed out that I could be next in the firing line, although I will be avoiding a by-election if I can help it.",uneindeutig
"The Secretary of State has mentioned international investors, who will of course be watching the upcoming sequence of votes we are about to have on Brexit. He knows that the British Government’s view will be defeated on 12 March. What will he do on the 13th? Are the press rumours that he will vote for no deal on the 13th correct, because that would be disastrous for the Welsh economy?",Economic
"As we have said before, after so many years of failed austerity, Labour will not stand in the way of any additional income for those on low and middle incomes, but there is another option here, which is to ask the wealthiest to pay their fair share. Under our manifesto plans, all those earning £18,000 or less would be protected from any further tax increases, while the richest few and corporations would reasonably pay more. We would introduce a minimum wage of £10 an hour, to give millions of working parents and their children a living wage. We would invest in childcare under our plans for a national education service, to transition to an affordable, high-quality childcare service. We would stop the roll-out of universal credit and reform the social security system, so that it acts as a proper safety net for all in their time of need.",Human Impact
"I join the hon. Gentleman in wishing everybody in the House, not only Members, but all the staff of the House, a very happy new year.

As I said to the Liaison Committee when I appeared in front of it before Christmas, I will, in a matter of weeks, be setting out some more details of our proposals on this issue. I would like just to remind him, when he talks about the Scottish Government’s plan, that of course it is his party, the Scottish nationalist party, that wants to leave the United Kingdom and therefore leave the European Union.",Conflict
"Every Member of Parliament faces a difficult vote this evening, representing as we do very different communities up and down the country. The additional challenge is that Brexit is not about party politics. All of us are genuinely asking ourselves how we can represent our communities and do what is in the best interest of this country. Like many other MPs, I cannot support this deal. I represent many remainers in my constituency who think that if we are still following so many rules, we should be around the table setting them. I also represent the many Brexiteers in my community, and they simply do not believe that this is the Brexit they felt they were voting for. It does not give them a clean break from the European Union. In many respects, Brexit has been a failure of party politics at leadership level on both sides of the House. Far from thwarting democracy, I feel that I am representing those in my community today, because they have told me clearly what they think about this particular deal and how they would like me to vote on it.",Human Impact
"I say to my hon. Friend that we have raised the idea of a comprehensive customs union for months and months. That has not been properly considered because of the Prime Minister; it is nothing to do with the Opposition. Let me be clear: we will never mortgage all our futures on the outcome of a Conservative party leadership contest which most Members have no control over at all and would have to sit back and watch.

Without the clarity and protections that we need in the political declaration, we should not approve this withdrawal agreement. Today’s vote is a shoddy gimmick from a desperate Government trying to hide away from the reality that a meaningful vote on the political declaration and the withdrawal agreement still needs to be brought back to the House. For months and months, the Prime Minister’s deal has simply created division and discord when we needed consensus on the way forward. The national interest is in building consensus for a future that protects the jobs and livelihoods of all our constituents. That is why the House should reject this motion.",Conflict
"I congratulate my right hon. Friend on living in the real world and on bringing back a deal that delivers on the 2016 vote without wrecking our economy. Is it not the case that nobody has put forward a better deal in nearly two hours of debate, and does she share my thoughts that it is ironic that those who might be scuppering Brexit are the ones who wanted it in the first place?",Conflict
"More than any policy risk, the Bill creates even more instability in our system, and we cannot afford that. Just look at what has happened over the past number of years. Alongside the attack on the protocol and the risk of a hard border in Ireland, the Bill rides a coach and horses through the Good Friday agreement in so many ways. If this Government, as they profess, support the Good Friday agreement and devolution and want local people to work together, spilling their sweat and not their blood, to bring about economic progress and change how society works, they will take away the risk of the Bill, because causes 46 and 47 would override, undercut and undermine all that progress.",Conflict
"This threat was not even made anonymously. It was made very publicly and traceably, and the man—I believe it is a man because I have seen a photograph of him—who made this threat must know that it is public and easily traceable, which makes this change in our national and political discourse all the more worrying. My crime that precipitated this threat was to be one of the 213 MPs of all parties to have signed the letter against crashing out without a deal—which we now know, after the vote last night and today, is the will of the majority of Members in this House. I say all this to reinforce the point about the pressure of the political climate that we are all operating in and dealing with. I know that none of us is taking any of this lightly at the moment.",Conflict
Does the hon. Gentleman share my concern that what he describes is a blatant piece of bullying that goes to the very heart of democracy? None of the people who have been named—I take it as a badge of honour—want to delay or thwart Brexit; we just want a good Brexit that works for everybody in our country. That is not a lot to ask for in a democracy.,Moral Value
"Surely what the decision says about the EFSM applies equally to the European financial stability facility, which was set up, albeit on a temporary basis, with an ostensible capacity of €440 million. That was designed for the eurozone and fits all the criteria, yet the EFSM was still set up. I am afraid to say that after that date, we saw use of the EFSM nodded through, by Ministers responsible to the House, with regard to Portugal. In the case of Ireland and the €22.5 billion use of the EFSM, we chose to have a bilateral loan; the arguments there may have been somewhat different. In the case of Portugal, we made no bilateral loan. We do not have the same close economic ties as we do with Ireland, yet we allowed the EFSM to be used for €26.5 billion in the case of Portugal.

We put a stop to the use of the EFSM not because of the European Council decision, but because of the actions of this House, following a debate that I secured from the Backbench Business Committee on a “stop the bail-outs” motion after the Portuguese bail-out was nodded through. Following that, I am pleased to say,",Economic
"What has been even more upsetting is the fact that Members on the Labour Front Bench have connived with the Government. The Government were never going to give us the opportunity to debate these important matters, for reasons that I genuinely understand and, indeed, respect, but for the Labour party to go against everything it has ever believed in is really quite shameful. It is a combination of incompetence on its Front Bench and a deep division among so many, with a few honourable exceptions—among whom I of course include the right hon. Member for Leeds Central (Hilary Benn). They have turned their backs on their long-standing belief in the free movement of people and failed to make the positive case for immigration.

The referendum vote exposed a deeply divided Britain, and that has been exposed in no place better than in the Labour party. Labour Members have been petrified—literally frozen to the spot—looking over one shoulder and seeing that their constituency Labour parties have been taken over by the extreme left, and beyond that, in many instances, that up to 70% of their own voters voted leave.",Conflict
"When it comes to missing voters resulting from the European referendum, the right hon. Gentleman’s analysis has been challenged by many people. I want to make that point first. My second point is about gerrymandering. The previous Government passed a piece of legislation and this Government have brought forward the date of individual electoral registration. The result, against the advice of the Electoral Commission, is to exclude 1.8 million people from the electoral register. If that is not gerrymandering, what is?",Conflict
"Considering that the stakes are so high, it is be essential that the Government deliver extensive communication and training to GPs, pharmacists, other healthcare professionals and the public, to help them understand any new protocols and manage expectations and any dissatisfaction. I would be grateful if the Minister outlined the Government’s plans. I talk and listen to frontline NHS staff all the time, and I know that there is a well-founded fear about the implications of a no-deal Brexit for hundreds of thousands of people in need of life-saving medicines. I am interested to hear from the Minister what information about these protocols has been shared with the health sector and professionals involved.

When the Secretary of State gave evidence to the Health and Social Care Committee a few weeks ago, he informed it that he will prioritise medicines over food. That glib assertion from the Secretary of State hardly offered the reassurance that patients deserve. Brexit should not compromise patient safety in any way. It is up to the Minister to allay the widespread concerns, but if she is not able to do so, we will test the opinion of the House. I commend our motion.",Human Impact
"There is an element of tilting at windmills in this debate. I do not believe the catastrophe theories about the next 11 months or so. The public want us to get out, and it is in the mutual interest of the EU and its member states and the UK to get as good a deal as possible, so I do not believe the catastrophic predictions. I voted against the previous Prime Minister’s deal three times, and against the current Prime Minister’s deal—in November, I think—but I did so because there were not simple majorities and I believed there was a better deal out there. Going through the Lobby, I was aware that some were voting against because they wanted a better deal—one we believed would better represent the decision in the 2016 referendum—but that others were voting to delay the process because they wanted, either by measures in this Chamber or by a second referendum, to overturn the 2016 decision itself.",Conflict
"It is a pleasure to follow the hon. Member for Luton South (Mr Shuker) and the many Members who have made maiden speeches today and in previous days. We have heard speeches of great eloquence and passion, and we already know that Parliament will be well served by its new Members.

The county of Warwickshire has retained all its six Conservative MPs, each with an increased majority, but I want to make special mention of my hon. Friend the Member for North Warwickshire (Craig Tracey). In 2010, his predecessor had the smallest Conservative majority in the country, at just 57, and at times his own prospects looked bleak. However, very hard work in the constituency and a national party message that resonated with the electorate have led to his being elected with a majority of 3,000. If on election night the Nuneaton result told us that the Conservative party would be in government, the North Warwickshire result told us that we would have a working majority.",uneindeutig
"I must confess that I am nervous of the Norway option, because it means free movement without getting a seat at the table. We must avoid a catastrophic no deal. If that means we need to have a people’s vote in the end, so be it. I do not believe it is undemocratic to vote again. The truth of the matter is that we all know more than we did two and a half years ago. But I have a warning to the super-remainers as well: staying in the EU will not mean everything in the economic garden is lovely. We must do more for people on low pay. For example, we need to strengthen the trade unions.",Powerlessness
"The EU is by no means perfect—there is much that I personally do not like—but on economic grounds there is an overwhelming reason to remain within it. That is the overwhelming consensus when I talk to businesses in my constituency. I will mention a few companies I have visited that all say that we are better off in. Pritex in Wellington manufactures sound-proofing for the car industry. The chief executive heads up the Society of Motor Manufacturers and Traders, and he has categorically stressed that the car industry operates totally EU-wide; it is a £15 billion trade for the UK, so we need to remain in the EU. W. H. Hendy and Sons makes high-pressure water pumps in Wiveliscombe. That is in a rural area, but the company exports right across the EU. It goes with delegations to get contracts in other parts of the world, and it could not do that alone, so it needs us to be in Europe. That is critical for rural jobs in my constituency, which we must not put in jeopardy.",Economic
"The day when we were originally due to vote on the deal, 11 December, marked five years since the then Yanukovych Government in Ukraine opened fire on young protesters in Maidan Square who wanted to join the European Union. How perverse that this sorry Government would ask us to vote to leave that European Union on the day that marked five years from when the so-called “heavenly hundred” were killed by their own Government for wishing to join the European Union.

I say this to progressives around the UK: Scotland has stood by you since Brexit was voted for in 2016. When Scotland finally—finally—regains its independence and seeks to join the European Union as an independent member state, I say to our progressive friends around the UK: just as we stood by you, we want you to stand with us.",Moral Value
"While it is imperative that the Government and its agencies give the fullest help and co-operation to the Culture Committee, the Electoral Commission and the Mueller investigations—although I know this is not his area of responsibility, I would be grateful if the Minister could assure the House that that will be the case, especially as I have been told that the Mueller team was in London recently and was not happy with the co-operation it was receiving from the UK authorities—it is the Intelligence and Security Committee that has much freer and direct access to our intelligence and security services and can question them directly. That is why its reconstitution is so important.

Despite the mounting evidence of recent months, the Foreign Secretary was still insisting last week that he had seen no evidence of Russian interference, but on Monday the Prime Minister said, or at least implied, something very different in her Mansion House speech. She excoriated the Putin regime for hacking, interfering in elections, and spreading fake news to sow discord in western democracies and threaten our international order.",Conflict
"Further to that point of order, Mr Speaker. It is clear that there is a desire on the Opposition Benches to bring forward a Bill that can give us an election, but we do not trust this Prime Minister—and we do not trust him for good reason. So if the Prime Minister is going to bring forward a Bill, he must give an absolute cast-iron assurance that, up until the passage of that Bill and the rising of Parliament, there will be no attempt to bring forward the withdrawal agreement Bill. Of course, the SNP will do its job and scrutinise any Bill that comes forward.

It is absolutely demonstrably the case that we want an election. We want the people of Scotland to be given the opportunity to have their say. We will fight that election on the right of the Scottish people to determine their own future. We will not, under any circumstances, consent to being taken out of the European Union against our will. That election campaign will make it clear that the right to determine our future will be in the hands of the Scottish people.",Conflict
"The Good Friday agreement states very clearly that the question of Irish unity will be a matter for the people of Ireland, north and south, without external impediment. That key principle must be reflected in any new UK-EU treaty, making clear that if in the future Northern Ireland votes to become part of a united Ireland, it will do so as an automatic part of the EU, without any change in Ireland’s terms of membership and without the need for any new negotiations on the part of Northern Ireland. We cannot afford, in the Northern Ireland context, the sort of trickery that was used in the Scottish context to raise question marks over whether EU membership would apply. This is a key principle and tenet for those of us in the House who support the Good Friday agreement.

There are other risks to the agreement as well. There are risks to the weight of the rights in strand 1. There is also significant damage afoot in relation to strand 2, which involved a delicate balance of institutional and constitutional arrangements. That strand will be left in complete deficit after Brexit unless someone takes care of it.",Moral Value
"Policy making by referendum is impractical. It does not provide an opportunity to secure real social change and poses a risk to the protection of minorities. In the history of our country, we have had an unprecedented number of referendums that have been constitutional in nature. Since 1975, people in Scotland have taken part in six referendums—on Europe; Scotland; Scotland; electoral reform; Scotland; and Europe. In other lands with different constitutional set-ups, referendums are more regular, and more established in constitutional law. The Scottish referendum of 1997 still required a Westminster Act of Parliament to set up the Scottish Parliament.",Moral Value
"I listen carefully to the points that the hon. Lady and all hon. Members make, regardless of their views on Brexit, but I just said that the Government have been working on 300 no deal plans for almost two years. Planning has not just started. However, we are going to start increasing the pace of the preparations—",uneindeutig
"On trade deals and our relationship with Europe, it has been mentioned that 60% of our trade is with the EU. Whether someone is producing lamb, steel, cars or aerospace products, frictionless trade is massively important. It is all very well the Prime Minister saying, “It’ll all be all right on the night. It is all about our sovereignty,” but it is not all about sovereignty; it is all about people’s jobs, livelihoods and future. The people who voted to leave the EU did not vote to leave their jobs.

Finally, I am reassured to a limited extent that the Secretary of State is again using warm words about the Swansea Bay tidal lagoon and, indeed, the lagoon in north Wales. Climate change is really hitting us for six. We know that 80% of fossil fuels cannot be used if we are to avoid irreversible climate change, and the spot price of oil is deflated due to excess production and fracking, which produces enormous amounts of excess methane that is making climate change even worse. Fossil fuel companies are basically sitting on stranded assets, and the financial markets will belatedly move out of that sector, so we need to invest now in green, climate change-compatible energy projects, such as the Swansea Bay tidal lagoon.",Economic
"Secondly, there is the issue of trust. The tenor of the referendum was disheartening. Half-truths and untruths were told, many of which key leave figures spent the weekend distancing themselves from—not least the claim that a vote to leave would hand the NHS an extra £350 million a week. It is quite shameful that politicians made claims they knew to be false and promises they knew could not be delivered.

Thirdly, real concern exists about immigration, but too much of the discussion during the referendum campaign was intemperate and divisive. In the days following the result, it appears that we have seen a rise in racist incidents, such as the attack on the Polish centre in Hammersmith, to which the Prime Minister quite rightly referred, and sadly many other such incidents all over this country. I hope that the Prime Minister and the Home Secretary will take all the action they can to halt the attacks and halt this disgraceful racist behaviour on the streets of this country.",Moral Value
"I am very keen on new clauses 4, 5, 8 and 21, because Finance Bill scrutiny is limited after we have passed the Bill. We do not really think very much about the environmental impact, the equalities impact, the public health impact or the impact on poverty, and we do not think very much about the significant impact on the environment of the measures in the Bill. We do not do enough within Finance Bills to understand the full impact of the measures we have, and I would support a full range of other mechanisms to do so, which I will come back to on Third Reading.",Human Impact
"No. I am making an intervention on my hon. Friend. Eventually there was a consensus on the withdrawal agreement, so the next point of attack became how long we could discuss it. It is obvious to the country that there is a process that is coming to a conclusion. The conclusion should be that the withdrawal agreement is passed to give business and people certainty. Arguing about it will not get us anywhere.",Economic
"The Prime Minister’s deal must be defeated. No one with the interests of this and future generations at heart could possibly accept it. This deal will take Scotland out of the EU against our will and remove us from the European single market of 500 million people. It will take us out of the customs union and the benefits of EU trade deals with more than 40 countries across the globe. This deal will make us poorer than staying in the European Union. [Interruption.] I can see the Under-Secretary of State for Exiting the European Union, the hon. Member for Worcester (Mr Walker), shaking his head, but he should look at his own economic analysis, as every shred of evidence shows that we are going to be poorer with Brexit than we would be if we stayed in. If he has not even read it and if he does not understand what it is in it, heaven help us. A no-deal Brexit is going to cost each person in Scotland £1,600 by 2030, compared with continued EU membership.",Economic
"The Home Affairs Committee report on Home Office delivery of Brexit found that a lack of experience among staff resulted in life-changing consequences. What is the Department doing to improve the recruitment and retention of staff to make sure that, while targets are met, the quality of decision making is still ensured?",Human Impact
"stocks where a genuine surplus exists and providing value for money to the EU taxpayer. I want fisheries partnership agreements to place a higher financial burden on the vessel operators who benefit from them, and I want to see the same standards of control and enforcement as are currently applied in EU waters. I also want a mechanism that separates the money paid for access to fishing grounds from development aid, and provides a real benefit to the indigenous populations and fishing communities of the countries with which we have such agreements. Critically, any agreement must be subject to a rigorous assessment, to ensure that its sustainability is assured before, during and after its life cycle.

I end by offering this assurance to my hon. Friend and the House. I will continue to argue strongly for improvements to both fisheries partnerships agreements under the current CFP and the future policy frameworks under a reformed CFP, for the benefit of taxpayers, developing countries and the fish stocks themselves. I would also say this to my hon. Friend the Member for Tiverton and Honiton. He may not share the view that not all fisheries partnership agreements are wrong. However,",Economic
"To call this a safety net is entirely wrong It is anything but that There is nothing safe in the breach of international law whatsoever, as the Minister well knows The breach of international law invites retaliation under the terms of the World Trade Organisation It invites us being regarded as a pariah It invites others to say that we are in no position to criticise those who routinely break international law It undermines this country’s fine reputation, as set out by Margaret Thatcher—revered by all Conservative Members—who said that Britain is nothing if not a country that sets an example to other countries It undermines the promised negotiations for deals around the world, including the fundamental negotiation right now with the European Union",Moral Value
